player_id,name,main_position,all_positions
502676,Giorgi Mamardashvili,Goalkeeper,Goalkeeper
105470,Alisson,Goalkeeper,Goalkeeper
226049,Freddie Woodman,Goalkeeper,Goalkeeper
706815,Harvey Davies,Goalkeeper,Goalkeeper
357119,Ibrahima Konaté,Centre-Back,Centre-Back
1086619,Giovanni Leoni,Centre-Back,"Centre-Back, Right-Back"
139208,Virgil van Dijk,Centre-Back,Centre-Back
256178,Joe Gomez,Centre-Back,"Centre-Back, Right-Back"
503679,Rhys Williams,Centre-Back,Centre-Back
730861,Milos Kerkez,Left-Back,"Left-Back, Left Midfield"
234803,Andrew Robertson,Left-Back,"Left-Back, Left Midfield"
484547,Jeremie Frimpong,Right-Back,"Right-Back, Right Midfield"
624258,Conor Bradley,Right-Back,"Right-Back, Right Midfield"
633652,Calvin Ramsay,Right-Back,"Right-Back, Right Midfield"
478573,Ryan Gravenberch,Defensive Midfield,"Defensive Midfield, Central Midfield"
146310,Wataru Endo,Defensive Midfield,"Defensive Midfield, Centre-Back"
864799,Stefan Bajcetic,Defensive Midfield,"Defensive Midfield, Centre-Back"
534033,Alexis Mac Allister,Central Midfield,"Central Midfield, Attacking Midfield"
433188,Curtis Jones,Central Midfield,"Central Midfield, Attacking Midfield"
1045123,Trey Nyoni,Central Midfield,"Central Midfield, Attacking Midfield"
598577,Florian Wirtz,Attacking Midfield,"Attacking Midfield, Left Winger"
451276,Dominik Szoboszlai,Attacking Midfield,"Attacking Midfield, Central Midfield"
434675,Cody Gakpo,Left Winger,"Left Winger, Centre-Forward"
1108466,Rio Ngumoha,Left Winger,"Left Winger, Right Winger"
148455,Mohamed Salah,Right Winger,"Right Winger, Second Striker"
341092,Federico Chiesa,Right Winger,"Right Winger, Left Winger"
349066,Alexander Isak,Centre-Forward,Centre-Forward
709726,Hugo Ekitiké,Centre-Forward,Centre-Forward
315858,Gianluigi Donnarumma,Goalkeeper,Goalkeeper
566799,James Trafford,Goalkeeper,Goalkeeper
116648,Marcus Bettinelli,Goalkeeper,Goalkeeper
475959,Josko Gvardiol,Centre-Back,"Centre-Back, Left-Back"
392757,Marc Guéhi,Centre-Back,Centre-Back
258004,Rúben Dias,Centre-Back,Centre-Back
763079,Abdukodir Khusanov,Centre-Back,"Centre-Back, Right-Back"
186590,John Stones,Centre-Back,"Centre-Back, Right-Back"
177476,Nathan Aké,Centre-Back,"Centre-Back, Left-Back"
843595,Max Alleyne,Centre-Back,Centre-Back
743413,Nico O'Reilly,Left-Back,"Left-Back, Attacking Midfield"
578391,Rayan Aït-Nouri,Left-Back,"Left-Back, Left Midfield"
601883,Matheus Nunes,Right-Back,"Right-Back, Central Midfield"
701057,Rico Lewis,Right-Back,"Right-Back, Defensive Midfield"
357565,Rodri,Defensive Midfield,"Defensive Midfield, Central Midfield"
466805,Nico González,Defensive Midfield,"Defensive Midfield, Central Midfield"
460939,Tijjani Reijnders,Central Midfield,"Central Midfield, Defensive Midfield"
911736,Sverre Nypan,Central Midfield,"Central Midfield, Centre-Forward"
51471,Mateo Kovacic,Central Midfield,"Central Midfield, Attacking Midfield"
406635,Phil Foden,Attacking Midfield,"Attacking Midfield, Left Winger"
607223,Rayan Cherki,Attacking Midfield,"Attacking Midfield, Right Winger"
241641,Bernardo Silva,Attacking Midfield,"Attacking Midfield, Right Winger"
486049,Jérémy Doku,Left Winger,"Left Winger, Right Winger"
743591,Savinho,Left Winger,"Left Winger, Right Winger"
583255,Antoine Semenyo,Right Winger,"Right Winger, Left Winger"
418560,Erling Haaland,Centre-Forward,Centre-Forward
445939,Omar Marmoush,Centre-Forward,"Centre-Forward, Left Winger"
262749,David Raya,Goalkeeper,Goalkeeper
192279,Kepa Arrizabalaga,Goalkeeper,Goalkeeper
495666,William Saliba,Centre-Back,Centre-Back
435338,Gabriel,Centre-Back,Centre-Back
